Champions,SpellId,SpellName,SpellSlot,Airborne,ForcedAction,Root,Sleep,Stasis,Stun,Supression,Polymorph,Slow,Cripple,Ground,Kinematics,Nearsight,Silence,Drowsy,Blind,AutoTargeted,DirectionFixedDistance,LocationTargeted,UnitTargeted,MiniUnitTargeted,TerrainTargeted,Blink,Reset,Execute,Finisher,InvulnerabilityUntargetableVanished,BlockedByChampion,BlockedByMinion,BlocksAuto,BlocksProjectiles,MultipleCharges,MovementsBuff,PointAndClick,NormalShield,MagicShield,SpellShield,PhysicalShield,AutoReset,PhysicalDamage,MagicDamage,TrueDamage,Temp
Braum,Braum_Passive.png,Concussive Blows,P,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braum,BraumQ,Winter's Bite,Q,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,
Braum,BraumW,Stand Behind Me,W,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,
Braum,BraumE,Unbreakable,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Braum,BraumRWrapper,Glacial Fissure,R,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Briar,BriarP.png,Crimson Curse,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briar,BriarQ,Head Rush,Q,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,1,,,
Briar,BriarW,Blood Frenzy / Snack Attack,W,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,1,1,,,
Briar,BriarE,Chilling Scream,E,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Briar,BriarR,Certain Death,R,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,
Caitlyn,Caitlyn_Headshot.png,Headshot,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caitlyn,CaitlynQ,Piltover Peacemaker,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Caitlyn,CaitlynW,Yordle Snap Trap,W,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,
Caitlyn,CaitlynE,90 Caliber Net,E,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,1,,
Caitlyn,CaitlynR,Ace in the Hole,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,
Camille,Camille_Passive.png,Adaptive Defenses,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,
Camille,CamilleQ,Precision Protocol,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,1,
Camille,CamilleW,Tactical Sweep,W,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Camille,CamilleE,Hookshot,E,1,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,1,,,
Camille,CamilleR,The Hextech Ultimatum,R,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,1,,
Cassiopeia,Cassiopeia_Passive.png,Serpentine Grace,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Cassiopeia,CassiopeiaQ,Noxious Blast,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,
Cassiopeia,CassiopeiaW,Miasma,W,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Cassiopeia,CassiopeiaE,Twin Fang,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,
Cassiopeia,CassiopeiaR,Petrifying Gaze,R,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Cho'Gath,GreenTerror_TailSpike.png,Carnivore,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cho'Gath,Rupture,Rupture,Q,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Cho'Gath,FeralScream,Feral Scream,W,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Cho'Gath,VorpalSpikes,Vorpal Spikes,E,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,
Cho'Gath,Feast,Feast,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,
Corki,Corki_RapidReload.png,Hextech Munitions,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corki,PhosphorusBomb,Phosphorus Bomb,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Corki,CarpetBomb,Valkyrie,W,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,
Corki,GGun,Gatling Gun,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Corki,MissileBarrage,Missile Barrage,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,1,,,
Darius,Darius_Icon_Hemorrhage.png,Hemorrhage,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius,DariusCleave,Decimate,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Darius,DariusNoxianTacticsONH,Crippling Strike,W,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
Darius,DariusAxeGrabCone,Apprehend,E,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius,DariusExecute,Noxian Guillotine,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,
Diana,Diana_Passive_LunarBlade.png,Moonsilver Blade,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diana,DianaQ,Crescent Strike,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Diana,DianaOrbs,Pale Cascade,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,
Diana,DianaTeleport,Lunar Rush,E,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,
Diana,DianaR,Moonfall,R,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Dr. Mundo,DrMundo_P.png,Goes Where He Pleases,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Mundo,DrMundoQ,Infected Bonesaw,Q,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,
Dr. Mundo,DrMundoW,Heart Zapper,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Dr. Mundo,DrMundoE,Blunt Force Trauma,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
Dr. Mundo,DrMundoR,Maximum Dosage,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Draven,Draven_passive.png,League of Draven,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Draven,DravenSpinning,Spinning Axe,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Draven,DravenFury,Blood Rush,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Draven,DravenDoubleShot,Stand Aside,E,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Draven,DravenRCast,Whirling Death,R,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,
Ekko,Ekko_P.png,Z-Drive Resonance,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Ekko,EkkoQ,Timewinder,Q,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,
Ekko,EkkoW,Parallel Convergence,W,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,
Ekko,EkkoE,Phase Dive,E,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,1,,
Ekko,EkkoR,Chronobreak,R,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,
Elise,ElisePassive.png,Spider Queen,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Elise,EliseHumanQ,Neurotoxin / Venomous Bite,Q,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,
Elise,EliseHumanW,Volatile Spiderling / Skittering Frenzy,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,1,,
Elise,EliseHumanE,Cocoon / Rappel,E,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,,,,,1,,,,,,,,,
Elise,EliseR,Spider Form,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evelynn,Evelynn_Passive.png,Demon Shade,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evelynn,EvelynnQ,Hate Spike,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,1,,
Evelynn,EvelynnW,Allure,W,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,
Evelynn,EvelynnE,Whiplash,E,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,1,,
Evelynn,EvelynnR,Last Caress,R,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,
Ezreal,Ezreal_RisingSpellForce.png,Rising Spell Force,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezreal,EzrealQ,Mystic Shot,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,
Ezreal,EzrealW,Essence Flux,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,
Ezreal,EzrealE,Arcane Shift,E,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,
Ezreal,EzrealR,Trueshot Barrage,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Fiddlesticks,FiddlesticksP.png,A Harmless Scarecrow,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiddlesticks,FiddleSticksQ,Terrify,Q,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,
Fiddlesticks,FiddleSticksW,Bountiful Harvest,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Fiddlesticks,FiddleSticksE,Reap,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Fiddlesticks,FiddleSticksR,Crowstorm,R,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,
Fiora,Fiora_P.png,Duelist's Dance,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Fiora,FioraQ,Lunge,Q,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,
Fiora,FioraW,Riposte,W,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,
Fiora,FioraE,Bladework,E,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
Fiora,FioraR,Grand Challenge,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,
Fizz,Fizz_P.png,Nimble Fighter,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fizz,FizzQ,Urchin Strike,Q,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,1,,
Fizz,FizzW,Seastone Trident,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,
Fizz,FizzE,Playful / Trickster,E,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,
Fizz,FizzR,Chum the Waters,R,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,
Galio,Galio_Passive.png,Colossal Smash,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galio,GalioQ,Winds of War,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Galio,GalioW,Shield of Durand,W,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,
Galio,GalioE,Justice Punch,E,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,
Galio,GalioR,Hero's Entrance,R,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,1,,,,,1,,
Gangplank,Gangplank_Passive.png,Trial by Fire,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Gangplank,GangplankQWrapper,Parrrley,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Gangplank,GangplankW,Remove Scurvy,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gangplank,GangplankE,Powder Keg,E,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Gangplank,GangplankR,Cannon Barrage,R,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Garen,Garen_Passive.png,Perseverance,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garen,GarenQ,Decisive Strike,Q,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
Garen,GarenW,Courage,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Garen,GarenE,Judgment,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Garen,GarenR,Demacian Justice,R,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,
